Type,ProductId,Changes,,,Timestamp
l2update,BTC-USD,[['sell', '19226.50', '0.03137266']],2023-01-13T15:27:42.375085Z
l2update,BTC-USD,[['sell', '19226.59', '0.14258773']],2023-01-13T15:27:42.375098Z
l2update,BTC-USD,[['buy', '19215.34', '0.05280372']],2023-01-13T15:27:42.375108Z
l2update,BTC-USD,[['sell', '19226.56', '0.07890709']],2023-01-13T15:27:42.375119Z
l2update,BTC-USD,[['sell', '19228.53', '0.08193316']],2023-01-13T15:27:42.375127Z
l2update,BTC-USD,[['sell', '19226.52', '0.05061975']],2023-01-13T15:27:42.375147Z
l2update,BTC-USD,[['sell', '19226.56', '0.28890709']],2023-01-13T15:27:42.375154Z
l2update,BTC-USD,[['sell', '19226.59', '0.15258773']],2023-01-13T15:27:42.375162Z
l2update,BTC-USD,[['sell', '19237.74', '0.06307694']],2023-01-13T15:27:42.378993Z
l2update,BTC-USD,[['buy', '19223.65', '0.01227509']],2023-01-13T15:27:42.379019Z
l2update,BTC-USD,[['buy', '19218.55', '0.07784294']],2023-01-13T15:27:42.379027Z
l2update,BTC-USD,[['sell', '19226.63', '0.00000000']],2023-01-13T15:27:42.379039Z
l2update,BTC-USD,[['sell', '19226.56', '0.29290709']],2023-01-13T15:27:42.379115Z
l2update,BTC-USD,[['sell', '19234.28', '0.00000000']],2023-01-13T15:27:42.379441Z
l2update,BTC-USD,[['sell', '19226.57', '0.00000000']],2023-01-13T15:27:42.381062Z
l2update,BTC-USD,[['sell', '19226.61', '0.00000000']],2023-01-13T15:27:42.381855Z
l2update,BTC-USD,[['buy', '19220.97', '0.05000000']],2023-01-13T15:27:42.383429Z
l2update,BTC-USD,[['buy', '19222.35', '0.00000000']],2023-01-13T15:27:42.384829Z
l2update,BTC-USD,[['buy', '19222.06', '0.00720889']],2023-01-13T15:27:42.387477Z
l2update,BTC-USD,[['buy', '19218.55', '0.18187762']],2023-01-13T15:27:42.387580Z
l2update,BTC-USD,[['buy', '19220.53', '0.06000000']],2023-01-13T15:27:42.387592Z
l2update,BTC-USD,[['buy', '19218.55', '0.31418420']],2023-01-13T15:27:42.387632Z
l2update,BTC-USD,[['sell', '19226.56', '0.33290709']],2023-01-13T15:27:42.387644Z
l2update,BTC-USD,[['buy', '19220.24', '0.13230658']],2023-01-13T15:27:42.387750Z
l2update,BTC-USD,[['buy', '19220.24', '0.00000000']],2023-01-13T15:27:42.390960Z
l2update,BTC-USD,[['sell', '19226.59', '0.16258773']],2023-01-13T15:27:42.392312Z
l2update,BTC-USD,[['sell', '19226.49', '0.04535851']],2023-01-13T15:27:42.392332Z
l2update,BTC-USD,[['sell', '19226.56', '0.29290709']],2023-01-13T15:27:42.396783Z
