Type,ProductId,Changes,,,Timestamp
l2update,BTC-USD,[['sell', '18210.95', '0.12867799']],2023-01-12T04:39:06.518521Z
l2update,BTC-USD,[['sell', '18211.18', '0.05491404']],2023-01-12T04:39:06.526735Z
l2update,BTC-USD,[['buy', '18208.75', '0.00000000']],2023-01-12T04:39:06.532878Z
l2update,BTC-USD,[['sell', '18210.42', '0.00008965']],2023-01-12T04:39:06.539089Z
l2update,BTC-USD,[['buy', '18209.15', '0.04921688']],2023-01-12T04:39:06.543023Z
l2update,BTC-USD,[['buy', '18210.04', '0.34416006']],2023-01-12T04:39:06.549338Z
l2update,BTC-USD,[['sell', '18210.05', '0.08163347']],2023-01-12T04:39:06.558558Z
l2update,BTC-USD,[['sell', '18211.18', '0.02745719']],2023-01-12T04:39:06.562525Z
l2update,BTC-USD,[['sell', '18210.93', '0.02745704']],2023-01-12T04:39:06.570589Z
l2update,BTC-USD,[['sell', '18210.05', '0.03462347']],2023-01-12T04:39:06.654038Z
l2update,BTC-USD,[['sell', '18210.93', '0.00000000']],2023-01-12T04:39:06.657943Z
l2update,BTC-USD,[['sell', '18211.18', '0.05491404']],2023-01-12T04:39:06.666295Z
l2update,BTC-USD,[['sell', '18211.56', '0.04000000']],2023-01-12T04:39:06.725124Z
l2update,BTC-USD,[['sell', '18211.82', '0.00000000']],2023-01-12T04:39:06.736479Z
l2update,BTC-USD,[['sell', '18211.55', '0.05295309']],2023-01-12T04:39:06.741269Z
l2update,BTC-USD,[['buy', '18204.77', '0.00000000']],2023-01-12T04:39:06.746444Z
l2update,BTC-USD,[['buy', '18201.81', '0.00000000']],2023-01-12T04:39:06.746444Z
l2update,BTC-USD,[['buy', '18198.85', '0.00000000']],2023-01-12T04:39:06.746444Z
l2update,BTC-USD,[['buy', '18195.89', '0.01000000']],2023-01-12T04:39:06.746444Z
l2update,BTC-USD,[['buy', '18183.62', '0.00000000']],2023-01-12T04:39:06.968955Z
l2update,BTC-USD,[['sell', '18211.54', '0.04000000']],2023-01-12T04:39:06.982063Z
l2update,BTC-USD,[['sell', '18210.05', '0.03458467']],2023-01-12T04:39:07.047972Z
l2update,BTC-USD,[['sell', '18210.94', '0.02000000']],2023-01-12T04:39:07.054936Z
