Type,ProductId,Changes,,,Timestamp
l2update,BTC-USD,[['sell', '21165.05', '0.01480092']],2023-01-17T16:36:25.368502Z
l2update,BTC-USD,[['buy', '21158.70', '0.00024225']],2023-01-17T16:36:25.368620Z
l2update,BTC-USD,[['buy', '21158.70', '0.00108373']],2023-01-17T16:36:25.368636Z
l2update,BTC-USD,[['buy', '21159.94', '0.02362749']],2023-01-17T16:36:25.368688Z
l2update,BTC-USD,[['buy', '21158.73', '0.00000000']],2023-01-17T16:36:25.369498Z
l2update,BTC-USD,[['buy', '21158.68', '0.00000000']],2023-01-17T16:36:25.371019Z
l2update,BTC-USD,[['sell', '21164.76', '0.00000000']],2023-01-17T16:36:25.371150Z
l2update,BTC-USD,[['buy', '21159.94', '0.00000000']],2023-01-17T16:36:25.371342Z
l2update,BTC-USD,[['buy', '21158.67', '0.00000000']],2023-01-17T16:36:25.371372Z
l2update,BTC-USD,[['buy', '21158.70', '0.00024225']],2023-01-17T16:36:25.373355Z
l2update,BTC-USD,[['buy', '21050.87', '0.00000000']],2023-01-17T16:36:25.374971Z
l2update,BTC-USD,[['buy', '21158.71', '0.00260207']],2023-01-17T16:36:25.376335Z
l2update,BTC-USD,[['buy', '21158.70', '0.00113156']],2023-01-17T16:36:25.376347Z
l2update,BTC-USD,[['sell', '21165.06', '0.00740046']],2023-01-17T16:36:25.376422Z
l2update,BTC-USD,[['buy', '21158.73', '0.00014504']],2023-01-17T16:36:25.376432Z
l2update,BTC-USD,[['buy', '21158.70', '0.00088931']],2023-01-17T16:36:25.378848Z
l2update,BTC-USD,[['buy', '21159.78', '0.00000000']],2023-01-17T16:36:25.378899Z
l2update,BTC-USD,[['buy', '21158.66', '0.00000000']],2023-01-17T16:36:25.379219Z
l2update,BTC-USD,[['sell', '21165.20', '0.00000000']],2023-01-17T16:36:25.379555Z
l2update,BTC-USD,[['buy', '21158.65', '0.00000000']],2023-01-17T16:36:25.379596Z
l2update,BTC-USD,[['buy', '21160.37', '0.02362747']],2023-01-17T16:36:25.379927Z
l2update,BTC-USD,[['buy', '21159.94', '0.02362749']],2023-01-17T16:36:25.380001Z
l2update,BTC-USD,[['sell', '21164.35', '0.09450997']],2023-01-17T16:36:25.380061Z
